Extraction des impliquants premiers
T: Déjà Traité  P: Premier  A: en attente

Groupage N°1
T 11110101011
T 11110101101
T 11110110011
T 11110110101
T 11110111001
T 11111000111
T 11111001011
T 11111001101
T 00111111111
T 01011111111
T 01101111111
T 01110111111
T 01111011111
T 01111101111
T 01111110111
T 01111111011
T 01111111101
T 10011111111
T 10101111111
T 10110111111
T 10111011111
T 10111101111
T 10111110111
T 10111111011
T 10111111101
T 11001111111
T 11010111111
T 11011011111
T 11011101111
T 11011110111
T 11011111011
T 11011111101
T 11100111111
T 11101011111
T 11101101111
T 11101110111
T 11101111011
T 11101111101
T 11110011111
T 11110101111
T 11110110111
T 11110111011
T 11110111101
T 11111001111
T 01111111111
T 10111111111
T 11011111111
T 11101111111
T 11110111111

Groupage N°2
T 000000000-1
T 00000000-01
T 0000000-001
T 000000-0001
T 00000-00001
T 0000-000001
T 000-0000001
T 00-00000001
T 0-000000001
T -0000000001
T 00000000-11
T 0000000-011
T 000000-0011
T 00000-00011
T 0000-000011
T 000-0000011
T 00-00000011
T 0-000000011
T -0000000011
T 000000001-1
T 0000000-101
T 000000-0101
T 00000-00101
T 0000-000101
T 000-0000101
T 00-00000101
T 0-000000101
T -0000000101
T 000000010-1
T 00000001-01
T 000000-1001
T 00000-01001
T 0000-001001
T 000-0001001
T 00-00001001
T 0-000001001
T -0000001001
T 000000100-1
T 00000010-01
T 0000001-001
T 00000-10001
T 0000-010001
T 000-0010001
T 00-00010001
T 0-000010001
T -0000010001
T 000001000-1
T 00000100-01
T 0000010-001
T 000001-0001
T 0000-100001
T 000-0100001
T 00-00100001
T 0-000100001
T -0000100001
T 000010000-1
T 00001000-01
T 0000100-001
T 000010-0001
T 00001-00001
T 000-1000001
T 00-01000001
T 0-001000001
T -0001000001
T 000100000-1
T 00010000-01
T 0001000-001
T 000100-0001
T 00010-00001
T 0001-000001
T 00-10000001
T 0-010000001
T -0010000001
T 001000000-1
T 00100000-01
T 0010000-001
T 001000-0001
T 00100-00001
T 0010-000001
T 001-0000001
T 0-100000001
T -0100000001
T 010000000-1
T 01000000-01
T 0100000-001
T 010000-0001
T 01000-00001
T 0100-000001
T 010-0000001
T 01-00000001
T -1000000001
T 100000000-1
T 10000000-01
T 1000000-001
T 100000-0001
T 10000-00001
T 1000-000001
T 100-0000001
T 10-00000001
T 1-000000001
T 0000000-111
T 000000-0111
T 00000-00111
T 0000-000111
T 000-0000111
T 00-00000111
T 0-000000111
T -0000000111
T 00000001-11
T 000000-1011
T 00000-01011
T 0000-001011
T 000-0001011
T 00-00001011
T 0-000001011
T -0000001011
T 000000011-1
T 000000-1101
T 00000-01101
T 0000-001101
T 000-0001101
T 00-00001101
T 0-000001101
T -0000001101
T 00000010-11
T 0000001-011
T 00000-10011
T 0000-010011
T 000-0010011
T 00-00010011
T 0-000010011
T -0000010011
T 000000101-1
T 0000001-101
T 00000-10101
T 0000-010101
T 000-0010101
T 00-00010101
T 0-000010101
T -0000010101
T 000000110-1
T 00000011-01
T 00000-11001
T 0000-011001
T 000-0011001
T 00-00011001
T 0-000011001
T -0000011001
T 00000100-11
T 0000010-011
T 000001-0011
T 0000-100011
T 000-0100011
T 00-00100011
T 0-000100011
T -0000100011
T 000001001-1
T 0000010-101
T 000001-0101
T 0000-100101
T 000-0100101
T 00-00100101
T 0-000100101
T -0000100101
T 000001010-1
T 00000101-01
T 000001-1001
T 0000-101001
T 000-0101001
T 00-00101001
T 0-000101001
T -0000101001
T 000001100-1
T 00000110-01
T 0000011-001
T 0000-110001
T 000-0110001
T 00-00110001
T 0-000110001
T -0000110001
T 00001000-11
T 0000100-011
T 000010-0011
T 00001-00011
T 000-1000011
T 00-01000011
T 0-001000011
T -0001000011
T 000010001-1
T 0000100-101
T 000010-0101
T 00001-00101
T 000-1000101
T 00-01000101
T 0-001000101
T -0001000101
T 000010010-1
T 00001001-01
T 000010-1001
T 00001-01001
T 000-1001001
